source_problem,source_num_steps,A_verifier_uncertainty_bits,verifier_uncertainty_bound_bits,verifier_uncertainty_bound_fraction,A_verifier_variance,verifier_variance_bound,verifier_variance_bound_fraction,verifier_uncertainty_start_bits,verifier_uncertainty_final_bits,verifier_uncertainty_delta_bits,verifier_variance_start,verifier_variance_final,verifier_variance_delta,action_entropy_start_per_token_nats,action_entropy_final_per_token_nats,action_entropy_shrink_per_token_nats,action_entropy_start_seq_nats,action_entropy_final_seq_nats,action_entropy_shrink_seq_nats,action_entropy_cumulative_per_token_nats,correct_action_entropy_start_per_token_nats,correct_action_entropy_final_per_token_nats,correct_action_entropy_shrink_per_token_nats,correct_action_entropy_start_step,correct_action_entropy_final_step,correct_action_entropy_start_seq_nats,correct_action_entropy_final_seq_nats,correct_action_entropy_shrink_seq_nats,incorrect_action_entropy_start_per_token_nats,incorrect_action_entropy_final_per_token_nats,incorrect_action_entropy_shrink_per_token_nats,source_p_start,source_p_final,source_p_max,verifier_sharpness_final,self_delta_p_common,mean_delta_p_common_offdiag,mean_positive_delta_p_common_offdiag
15185,16,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27646239614114165,0.27748975390568376,-0.0010273577645421028,137.52278816699982,139.02886056900024,-1.5060724020004272,4.4979865595232695,,,,0,0,,,,0.27646239614114165,0.27748975390568376,-0.0010273577645421028,0.0,0.0,0.0,1.0,-0.00703125,-0.00989583333333334,0.011658653846153836
15543,16,14.974434953541548,16.0,0.9359021845963468,3.65625,4.0,0.9140625,0.8112781244591328,0.954434002924965,-0.14315587846583222,0.1875,0.234375,-0.046875,0.28442272637039423,0.2517916182987392,0.032631108071655035,162.69944214820862,152.24039483070374,10.459047317504883,4.406075457111001,0.26747985929250717,0.2680278929571311,-0.0005480336646239148,1,16,147.0566463470459,149.10062662760416,-2.0439802805582588,0.2900703487296899,0.24204985350370406,0.04802049522598584,0.25,0.375,0.5,0.04556599707503495,-0.0101562499999999,0.029447115384615374,0.041907051282051265
15592,16,3.0657132830757874,16.0,0.1916070801922367,0.5029296875,4.0,0.125732421875,0.4488644887230294,0.0,0.4488644887230294,0.0849609375,0.0,0.0849609375,0.22092775674536824,0.20086807268671691,0.020059684058651328,135.24337697029114,128.86504650115967,6.37833046913147,3.313999770907685,0.15918579200903574,0.24904821813106537,-0.08986242612202963,1,14,166.4654541015625,161.1342010498047,5.3312530517578125,0.2273148565456785,0.20086807268671691,0.026446783858961598,0.09375,0.0,0.09375,1.0,-0.0085937499999999,0.011778846153846148,0.026802884615384607
1689,16,3.1133331231733883,16.0,0.19458332019833677,0.52734375,4.0,0.1318359375,0.2006223243127146,0.2006223243127146,0.0,0.0302734375,0.0302734375,0.0,0.09166451287455857,0.10795694962143898,-0.016292436746880412,126.80532503128052,120.63955187797546,6.165773153305054,1.5839836567174643,0.13489821553230286,0.12337765097618103,0.011520564556121826,1,16,137.7310791015625,111.16326141357422,26.56781768798828,0.09026987730495391,0.10745950764225375,-0.017189630337299838,0.03125,0.03125,0.09375,0.7993776756872853,0.00078125,-0.016506410256410264,0.01073717948717947
17729,16,12.639821374809223,16.0,0.7899888359255764,2.9052734375,4.0,0.726318359375,0.6962122601251458,0.8571484374283715,-0.16093617730322574,0.15234375,0.2021484375,-0.0498046875,0.16685363953001797,0.19259614776819944,-0.025742508238181472,78.85013628005981,96.12267470359802,-17.272538423538208,2.7022347766906023,0.14676655704776445,0.20341787238915762,-0.05665131534139317,1,16,72.8786195119222,94.19444020589192,-21.315820693969727,0.1714891201028457,0.1883615598730419,-0.0168724397701962,0.1875,0.28125,0.34375,0.14285156257162845,-0.04765625,0.003966346153846157,0.02071314102564101
17768,16,11.806361522768327,16.0,0.7378975951730204,2.6630859375,4.0,0.665771484375,0.8960382325345574,0.5435644431995964,0.352473789334961,0.21484375,0.109375,0.10546875,0.13163398252800107,0.1311048474162817,0.0005291351117193699,69.01611566543579,65.35718524456024,3.6589304208755493,2.1882924176752567,0.13013303313742985,0.12871674288596427,0.001416290251465585,1,16,66.08640844171697,64.96618502480644,1.1202234169105338,0.13493607118725776,0.1478215791285038,-0.012885507941246044,0.6875,0.875,0.90625,0.4564355568004036,0.0632812499999999,0.020352564102564103,0.03589743589743588
2119,16,8.154537466224182,16.0,0.5096585916390114,1.6484375,4.0,0.412109375,0.4488644887230294,0.6252624052234231,-0.17639791650039371,0.0849609375,0.1318359375,-0.046875,0.19894723943434656,0.2083275376353413,-0.00938029820099473,106.40701150894165,120.2476110458374,-13.840599536895752,3.3224283333402127,0.26835253338019055,0.20467444360256196,0.0636780897776286,1,16,147.1385040283203,123.42327117919922,23.715232849121094,0.1917673814399489,0.20900403653030042,-0.01723665509035152,0.09375,0.15625,0.25,0.37473759477657687,0.11171875,0.021514423076923063,0.03363381410256408
3075,16,13.64414991058015,16.0,0.8527593694112594,3.23828125,4.0,0.8095703125,0.6252624052234231,0.9886994082884974,-0.3634370030650743,0.1318359375,0.24609375,-0.1142578125,0.09725928329862654,0.10324494785163552,-0.005985664553008974,79.68745589256287,88.83287560939789,-9.145419716835022,1.637230244348757,0.09134798049926758,0.10149068757891655,-0.010142707079648969,1,16,75.31787719726563,91.26333699907575,-15.945459801810117,0.09835396900221154,0.10460937250819471,-0.006255403505983179,0.15625,0.4375,0.4375,0.01130059171150255,0.0421874999999999,0.02089342948717949,0.032111378205128195
3386,16,0.2006223243127146,16.0,0.012538895269544662,0.0302734375,4.0,0.007568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.18880114960484207,0.18816431006416678,0.0006368395406752825,173.24584889411926,175.35735726356506,-2.111508369445801,3.101251932559535,0.08997459709644318,0.08997459709644318,0.0,15,15,103.92066192626953,103.92066192626953,0.0,0.18880114960484207,0.18816431006416678,0.0006368395406752825,0.0,0.0,0.03125,1.0,-0.00234375,0.01642628205128204,0.027504006410256396
3442,16,8.35417212223996,16.0,0.5221357576399975,1.703125,4.0,0.42578125,0.5435644431995964,0.4488644887230294,0.09469995447656698,0.109375,0.0849609375,0.0244140625,0.08712673198897392,0.10802858014358208,-0.02090184815460816,62.098312735557556,75.21790254116058,-13.119589805603027,1.509951402200386,0.09163183812052011,0.10322558755675952,-0.011593749436239406,1,16,63.19126033782959,81.3247667948405,-18.13350645701091,0.08648314539875303,0.10852544144566717,-0.022042296046914142,0.125,0.09375,0.21875,0.5511355112769706,0.03515625,0.0058493589743589735,0.022315705128205122
